,streams_binned,in_playlists_binned,in_charts_binned,bpm_binned,key,key_imputed,mode,danceability_binned,valence_binned,energy_binned,acousticness_binned,instrumentalness_binned,liveness_binned,speechiness_binned
0,2,1,9,5,B,0,Major,above_average,high,high,bellow_average,low,low,low
1,2,3,9,1,C#,0,Major,above_average,above_average,above_average,low,low,low,low
2,2,3,9,7,F,0,Major,bellow_average,bellow_average,average,low,low,bellow_average,low
3,7,8,9,9,A,0,Major,average,average,above_average,low,low,low,bellow_average
4,5,6,9,7,A,0,Minor,average,bellow_average,high,low,above_average,low,low
5,3,5,9,7,C#,0,Major,high,above_average,average,low,low,low,bellow_average
6,7,6,9,8,F,0,Minor,above_average,high,above_average,average,low,low,low
7,0,1,9,2,F,0,Major,above_average,bellow_average,above_average,bellow_average,low,low,low
8,1,3,9,6,C#,0,Minor,high,low,above_average,low,low,bellow_average,low
9,6,5,9,9,D,0,Minor,above_average,average,average,bellow_average,low,low,average
10,6,5,9,0,F#,0,Minor,average,average,above_average,bellow_average,low,bellow_average,low
11,0,1,9,8,F,0,Minor,above_average,average,high,low,low,low,low
12,9,8,9,4,C#,1,Major,above_average,above_average,above_average,low,low,low,low
13,6,6,9,6,D,0,Minor,bellow_average,bellow_average,bellow_average,high,low,low,low
14,9,9,9,9,F#,0,Minor,bellow_average,above_average,above_average,bellow_average,low,bellow_average,low
15,8,8,9,0,G#,0,Major,average,average,above_average,low,low,low,low
16,6,5,9,4,B,0,Minor,above_average,above_average,average,average,low,bellow_average,low
17,0,2,9,0,C#,1,Major,bellow_average,low,low,high,low,low,low
18,5,5,9,2,B,0,Major,high,above_average,above_average,low,low,low,bellow_average
19,5,1,8,4,G,0,Major,average,bellow_average,above_average,low,low,bellow_average,low
20,1,0,8,7,F,0,Minor,average,high,above_average,bellow_average,low,average,low
21,0,1,9,5,F#,0,Major,above_average,high,above_average,low,low,low,low
22,8,8,8,6,C#,1,Minor,bellow_average,average,bellow_average,low,low,low,low
23,3,3,9,6,F,0,Minor,high,high,above_average,bellow_average,low,low,low
24,1,4,9,2,C#,0,Major,high,high,above_average,low,low,bellow_average,bellow_average
25,1,0,9,6,G,0,Minor,above_average,high,high,low,low,low,low
26,8,7,9,3,B,0,Major,above_average,high,high,average,low,low,low
27,0,2,9,5,F#,0,Minor,above_average,above_average,above_average,low,low,average,low
28,6,5,9,9,F#,0,Major,bellow_average,average,above_average,average,low,low,low
29,2,5,7,3,B,0,Minor,above_average,above_average,high,low,low,bellow_average,low
30,0,2,9,5,F,0,Minor,above_average,bellow_average,high,low,low,low,low
31,0,0,9,9,F#,0,Major,average,above_average,high,average,low,low,low
32,8,7,8,2,C#,0,Minor,above_average,low,average,bellow_average,low,low,low
33,8,8,9,2,E,0,Major,average,average,above_average,low,low,low,low
34,7,6,9,9,E,0,Minor,above_average,above_average,above_average,above_average,low,low,average
35,2,3,8,4,C#,1,Major,above_average,above_average,above_average,low,low,low,low
36,3,1,9,8,F#,0,Major,average,bellow_average,above_average,bellow_average,low,low,low
37,9,8,8,2,F,0,Major,above_average,average,above_average,low,low,low,low
38,7,8,8,1,D,0,Major,average,average,above_average,low,low,low,low
39,3,1,8,5,F,0,Minor,above_average,high,high,bellow_average,low,low,low
40,5,1,8,7,A,0,Minor,average,high,above_average,bellow_average,low,low,low
41,9,9,8,1,D,0,Major,above_average,high,average,average,low,low,low
42,8,8,9,5,G,0,Minor,average,bellow_average,high,low,low,bellow_average,low
43,8,8,9,0,F#,0,Major,average,average,average,bellow_average,low,low,low
44,0,3,9,7,C#,1,Major,above_average,above_average,average,average,low,bellow_average,bellow_average
45,7,6,7,5,F,0,Major,above_average,average,above_average,low,low,low,low
46,8,8,9,7,C#,1,Major,above_average,high,high,low,low,low,low
47,9,5,9,6,C#,0,Minor,average,average,average,low,low,low,low
48,9,9,9,9,G,0,Major,above_average,average,average,low,low,low,average
49,6,6,7,0,C#,0,Minor,average,average,average,bellow_average,low,average,low
